din,brand_name,atc_description,prior_shortage_count,manufacturer_count,days_since_last_shortage,risk_score
2276747.0,TEVA-OLANZAPINE,ANTIPSYCHOTICS,14,32.0,891.0,0.8725492789337862
782718.0,TEVA-CARBAMAZEPINE,ANTIEPILEPTICS,13,14.0,855.0,0.8712471871622478
2419890.0,APO-VARENICLINE,DRUGS USED IN ADDICTIVE DISORDERS,14,9.0,850.0,0.8710831801855516
2322765.0,GRANISETRON HYDROCHLORIDE INJECTION,ANTIEMETICS AND ANTINAUSEANTS,14,8.0,854.0,0.8706589027506508
2380005.0,SANDOZ ENTACAPONE,DOPAMINERGIC AGENTS,13,7.0,858.0,0.8690309382958813
2212188.0,IMITREX INJECTION 12MG/ML,ANTIMIGRAINE PREPARATIONS,18,25.0,1628.0,0.8679956848962413
2194201.0,RATIO-NYSTATIN,INTESTINALANTIINFECTIVES,15,28.0,821.0,0.8673289193236903
2238796.0,APO-BECLOMETHASONE NASAL SPRAY,DECONGESTANTS AND OTHER NASAL PREP.FOR TOPICAL USE,13,16.0,878.0,0.8670083723560311
2286610.0,APO-MIRTAZAPINE,ANTIDEPRESSANTS,14,22.0,878.0,0.8657700702209569
2326957.0,SANDOZ CANDESARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",14,30.0,1018.0,0.8653009173267792
2144271.0,TEVA-TRAZODONE,ANTIDEPRESSANTS,15,19.0,1066.0,0.8646132294986563
2310538.0,RAN-RAMIPRIL,"ACE INHIBITORS, PLAIN",12,31.0,857.0,0.8631912890410223
821373.0,COTAZYM ECS 20,"DIGESTIVES, INCL ENZYMES",17,28.0,816.0,0.8619245055117543
2243158.0,CLINDOXYL GEL,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,15,73.0,1156.0,0.8601831241221786
2286629.0,APO-MIRTAZAPINE,ANTIDEPRESSANTS,17,22.0,1473.0,0.8589403418325285
2399032.0,SANDOZ SOLIFENACIN,"OTHER UROLOGICALS, INCL ANTISPASMODICS",13,20.0,774.0,0.8589005654511379
2261278.0,TEVA-LEFLUNOMIDE,IMMUNOSUPPRESSANTS,13,15.0,960.0,0.8580396798845987
2313855.0,SANDOZ MYCOPHENOLATE MOFETIL,IMMUNOSUPPRESSANTS,13,15.0,962.0,0.8578150096319467
2144263.0,TEVA-TRAZODONE,ANTIDEPRESSANTS,14,19.0,953.0,0.8575005987095848
2423863.0,ACT ESOMEPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),15,6.0,1109.0,0.857340707545139
769541.0,SOLYSTAT,ALL OTHER THERAPEUTIC PRODUCTS,14,8.0,983.0,0.8566705345855111
2316080.0,ACT QUETIAPINE,ANTIPSYCHOTICS,12,33.0,855.0,0.8560350257495791
2314185.0,SANDOZ RABEPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),14,18.0,767.0,0.8547810774400666
2452758.0,APO-METHYLPHENIDATE ER,PSYCHOSTIMULANTS AND NOOTROPICS,14,17.0,1169.0,0.8544902472795165
502790.0,COTAZYM ECS 8,"DIGESTIVES, INCL ENZYMES",13,34.0,816.0,0.8542945930233747
2452731.0,APO-METHYLPHENIDATE ER,PSYCHOSTIMULANTS AND NOOTROPICS,14,17.0,1172.0,0.8541461345728887
342092.0,TEVA-CEPHALEXIN 250,OTHER BETA-LACTAM ANTIBACTERIALS,15,13.0,1352.0,0.8538179472106603
2257955.0,CLARUS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,13,6.0,819.0,0.8536482056666052
2457490.0,TARO-CAPECITABINE,ANTIMETABOLITES,13,10.0,1002.0,0.8532049764492005
2244514.0,TEVA-GABAPENTIN,ANTIEPILEPTICS,12,37.0,821.0,0.8527390069370909
2330288.0,TEVA-TELMISARTAN HCTZ,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",14,63.0,877.0,0.8522526747311517
2471094.0,APO-ARIPIPRAZOLE,ANTIPSYCHOTICS,14,17.0,912.0,0.8519578519554845
2310929.0,TEVA-ATORVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",14,32.0,1016.0,0.8507630162769055
2324628.0,APO-OXYCODONE/ACET,OPIOIDS,14,13.0,871.0,0.8505043076098443
589861.0,TEVA-NAPROXEN,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",13,22.0,1030.0,0.850075530723299
2460912.0,APO-PHENYTOIN SODIUM,ANTIEPILEPTICS,12,11.0,857.0,0.8499939377088221
2466988.0,APO-DESVENLAFAXINE,ANTIDEPRESSANTS,14,5.0,1017.0,0.8499859391213652
263818.0,COTAZYM,"DIGESTIVES, INCL ENZYMES",15,28.0,1233.0,0.8498001850198574
2301784.0,TEVA-LISINOPRIL/HCTZ (TYPE Z),"ACE INHIBITORS, COMBINATIONS",13,15.0,1038.0,0.8490559627269858
2330377.0,APO-METHYLPHENIDATE ER,PSYCHOSTIMULANTS AND NOOTROPICS,14,17.0,1050.0,0.8490200698798537
2238162.0,DIASTAT,ANXIOLYTICS,15,17.0,1395.0,0.8488462828639407
261998.0,SODIUM BICARBONATE INJ 8.4%,I.V. SOLUTION ADDITIVES,13,87.0,583.0,0.8486916310483215
2320185.0,TEVA-TELMISARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",14,26.0,1002.0,0.8483135846354657
2245345.0,ANDROGEL,ANDROGENS,12,10.0,868.0,0.8481100555068664
2293811.0,APO-LANSOPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),13,17.0,794.0,0.8472880927713553
851744.0,ELOCOM CREAM,"CORTICOSTEROIDS, PLAIN",17,10.0,1633.0,0.8464262458948847
402206.0,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE,I.V. SOLUTION ADDITIVES,14,149.0,774.0,0.843790610865538
2182904.0,PREGNYL,GONADOTROPHINS AND OTHER OVULATION STIMULANTS,13,11.0,1101.0,0.8414168343720821
2337444.0,SANDOZ IRBESARTAN HCT,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",13,63.0,767.0,0.8411238147147819
28096.0,CELESTONE SOLUSPAN,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",12,9.0,926.0,0.8410836994073911
2339099.0,APO-ESOMEPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),12,13.0,843.0,0.8396214476024694
2375958.0,SANDOZ TELMISARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",15,26.0,1264.0,0.8394006391473363
2305429.0,SANDOZ BRIMONIDINE,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,12,17.0,941.0,0.8393203918827886
2457504.0,TARO-CAPECITABINE,ANTIMETABOLITES,13,10.0,1122.0,0.8388055480415963
452130.0,NOVAMOXIN,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",13,28.0,960.0,0.8385157963928016
2411520.0,SANDOZ MOXIFLOXACIN,ANTIINFECTIVES,11,24.0,774.0,0.8380906977674399
2289296.0,APO-PERINDOPRIL,"ACE INHIBITORS, PLAIN",12,20.0,878.0,0.8379765328396644
600806.0,APO-NAPROXEN,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",13,22.0,773.0,0.8378767202649221
2241835.0,ESTALIS 140/50 MCG,PROGESTOGENS AND ESTROGENS IN COMBINATION,12,13.0,760.0,0.83769128282232
2282127.0,APO-RISPERIDONE,ANTIPSYCHOTICS,12,29.0,815.0,0.8376385047760089
2324962.0,SANDOZ ATORVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",12,32.0,927.0,0.8372911994661143
2324970.0,SANDOZ ATORVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",13,32.0,1110.0,0.8366018692968016
2218313.0,APO-ZOPICLONE - TAB 7.5MG,HYPNOTICS AND SEDATIVES,11,31.0,787.0,0.8365410216857598
2338009.0,APO-ROSUVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",15,30.0,1207.0,0.8346297594709389
2239700.0,APO-DIVALPROEX,ANTIEPILEPTICS,14,11.0,1521.0,0.8340456260585547
700401.0,TEVA-PREDNISOLONE,ANTIINFLAMMATORY AGENTS,12,17.0,988.0,0.8333924650809711
2411342.0,APO-AMLODIPINE-ATORVASTATIN,"LIPID MODIFYING AGENTS, COMBINATIONS",12,4.0,801.0,0.8323794229996522
2318180.0,TEVA-ESCITALOPRAM,ANTIDEPRESSANTS,13,26.0,807.0,0.8322238874240837
550507.0,TEVA-TRIACOMB,"CORTICOSTEROIDS, COMB WITH ANTIBIOTICS",13,43.0,1016.0,0.831586165080184
2249324.0,APO-METHYLPHENIDATE,PSYCHOSTIMULANTS AND NOOTROPICS,15,17.0,1536.0,0.8314069488069096
2246365.0,TRANEXAMIC ACID INJECTION BP,ANTIFIBRINOLYTICS,12,15.0,816.0,0.8305754604933449
2229315.0,PDP-DESONIDE,"CORTICOSTEROIDS, PLAIN",14,6.0,1368.0,0.830039651826675
2246699.0,APO-NAPROXEN EC TABLETS,"ANTIINFLAMMATORY/ANTIRHEUMATIC PROD.,NON-STEROIDS",12,22.0,829.0,0.828968533131279
2491346.0,METHOTREXATE SUBCUTANEOUS,IMMUNOSUPPRESSANTS,12,14.0,1028.0,0.8281738040222762
653233.0,RATIO-LENOLTEC NO 1,OPIOIDS,15,65.0,1087.0,0.8276891194927011
2440180.0,TARO-CLINDAMYCIN/BENZOYL PEROXIDE GEL,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,14,10.0,1387.0,0.8276043272766739
2247008.0,TEVA-PRAVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",15,35.0,1128.0,0.8272186426982286
2327902.0,SANDOZ CANDESARTAN PLUS,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",11,63.0,893.0,0.8253197555349403
2251574.0,APO-RAMIPRIL,"ACE INHIBITORS, PLAIN",11,31.0,766.0,0.8251101311925013
2471086.0,APO-ARIPIPRAZOLE,ANTIPSYCHOTICS,12,17.0,912.0,0.8249609735657436
2417340.0,SANDOZ CANDESARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",11,30.0,823.0,0.8247594686129148
496499.0,TEVA-PROPRANOLOL,BETA BLOCKING AGENTS,10,16.0,966.0,0.8224450950860954
2392828.0,RAN-PREGABALIN,ANTIEPILEPTICS,11,35.0,868.0,0.8224337858412605
2369362.0,ACUVAIL,ANTIINFLAMMATORY AGENTS,11,23.0,899.0,0.8218307311873801
593451.0,TEVA-CODEINE,COUGH SUPPRESSANTS EXCL. COMB. WITH EXPECTORANTS,11,49.0,906.0,0.821214087009348
2295415.0,TEVA-OMEPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),13,20.0,1002.0,0.8208399389635005
2139499.0,MAGNESIUM SULFATE INJECTION,I.V. SOLUTION ADDITIVES,11,68.0,914.0,0.8203709727106285
2245058.0,APO-OMEPRAZOLE,DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE (GERD),11,15.0,808.0,0.8187661495793251
2289261.0,APO-PERINDOPRIL,"ACE INHIBITORS, PLAIN",10,20.0,829.0,0.8181696524129883
2231689.0,LABETALOL HYDROCHLORIDE INJECTION USP,BETA BLOCKING AGENTS,11,15.0,1187.0,0.8165045211540015
2244304.0,APO-GABAPENTIN CAPSULES,ANTIEPILEPTICS,9,37.0,777.0,0.8152481928676729
2244305.0,APO-GABAPENTIN CAPSULES,ANTIEPILEPTICS,11,37.0,735.0,0.8116774270026931
2367394.0,TARO-CARBAMAZEPINE,ANTIEPILEPTICS,11,14.0,951.0,0.8107077606500669
2295822.0,APO-VALACYCLOVIR,DIRECT ACTING ANTIVIRALS,12,21.0,801.0,0.8104621316891998
786543.0,DILAUDID,OPIOIDS,15,15.0,1354.0,0.8104319161703171
500895.0,NALCROM,INTESTINALANTIINFLAMMATORY AGENTS,11,12.0,986.0,0.809639405786353
2415380.0,MYA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,11,8.0,780.0,0.8088340040538731
2420171.0,SANDOZ OLOPATADINE 0.2%,DECONGESTANTS AND ANTIALLERGICS,11,10.0,781.0,0.8087181848385696
2496410.0,TARO-CLOTRIMAZOLE/BETAMETHASONE DIPROPIONATE,ANTIFUNGALS FOR TOPICAL USE,11,10.0,995.0,0.8083309610292613
2248130.0,RATIO-MOMETASONE,"CORTICOSTEROIDS, PLAIN",13,10.0,1352.0,0.80805070395432
